N_CLIENT,Segment_Label,CA_TOTAL,BONUS_MALUS_MOY,SCORE_RISQUE
1555532,Client Premium,1634.651,2.810810810810811,0.8919873184026764
1353528,Client Premium,1862.905,2.108108108108108,0.8900926084161719
1333354,Client Premium,2147.528,2.1555555555555554,0.8899014002018177
1395532,Client Premium,1549.03,2.323529411764706,0.889564845333405
1527532,Client Premium,1510.3,2.6333333333333333,0.8880010724925387
1533334,Client Premium,2140.115,2.069767441860465,0.8878809619650605
1535352,Client Premium,1454.111,2.1333333333333333,0.8865898126049001
1335352,Client Premium,1534.831,2.0277777777777777,0.8861111729964567
1535814,Client Premium,1511.01,3.0,0.8850994946241966
1553532,Client Premium,1569.329,2.15625,0.8834564717331159
1535554,Client Premium,2691.712,3.0,0.8819402252946587
1333532,Client Premium,1377.06,2.09375,0.8817972103596022
1353274,Client Premium,1564.84,3.071428571428572,0.8812599078638058
1553572,Client Premium,1285.7,2.1481481481481484,0.880200621256439
1275952,Client Premium,1223.12,2.111111111111111,0.8798738901823371
1339332,Client Premium,1341.755,2.4482758620689653,0.8794284430375356
1375354,Client Premium,1425.074,2.8857142857142857,0.8792951339676374
1333352,Client Premium,2281.62,1.9,0.8792940224966567
1321534,Client Premium,1252.717,2.4482758620689653,0.8790529840474619
1595292,Client Premium,1653.16,2.24,0.8789949271612819
1351532,Client Premium,1394.725,2.4545454545454546,0.8787729555886264
1533554,Client Premium,1632.34,3.814814814814815,0.8785026670849712
1533154,Client Premium,1222.575,2.2857142857142856,0.8784939496329848
1555312,Client Premium,1514.763,2.4,0.8784228024348595
1373552,Client Premium,1229.71,2.774193548387097,0.8782629987330313
1393334,Client Premium,1236.74,2.033333333333333,0.8782574384648179
1555554,Client Premium,1390.83,1.8823529411764703,0.8777594979566519
1335552,Client Premium,1368.718,2.5172413793103448,0.8775186592873265
1513532,Client Premium,1117.36,2.3846153846153846,0.8764402717886028
1535356,Client Premium,1418.775,4.0,0.8746642858986309
1353574,Client Premium,1075.955,2.6923076923076925,0.8739542254491741
1533552,Client Premium,1440.331,2.4615384615384617,0.8737629737405135
1333334,Client Premium,1127.59,2.129032258064516,0.8735649212707893
1473734,Client Premium,1367.39,2.583333333333333,0.8732044353036247
1775534,Client Premium,1775.735,3.8333333333333335,0.8731967025542877
1353352,Client Premium,1218.428,1.9655172413793105,0.8730859539467652
1573334,Client Premium,1528.263,2.652173913043478,0.8730752541481188
1332934,Client Premium,1297.76,2.7333333333333334,0.8730300969992995
1333932,Client Premium,1196.415,1.9714285714285715,0.872602242295946
1595354,Client Premium,1486.845,1.8928571428571428,0.8722084369000281
1753552,Client Premium,1701.795,4.25,0.8721766871449168
1553534,Client Premium,1116.864,3.3703703703703702,0.8721750794663659
1553286,Client Premium,1521.699,1.875,0.8711738183712143
1355532,Client Premium,2015.85,1.5227272727272727,0.8709267051325115
1335328,Client Premium,1060.45,1.6153846153846154,0.8705443321560149
1553354,Client Premium,1645.868,1.5172413793103448,0.8704156473617101
1359354,Client Premium,1694.597,1.6296296296296295,0.8703012776614457
1335532,Client Premium,1156.655,1.56,0.8698654810054102
1355334,Client Premium,1070.51,1.72,0.8697860990378361
1733354,Client Premium,1990.16,4.107142857142857,0.8696791302432019
1335354,Client Premium,1363.96,1.6097560975609757,0.8685402660971786
1553326,Client Premium,1119.16,2.083333333333333,0.8679990157564685
1555334,Client Premium,1063.69,2.0,0.8678327069036469
1333328,Client Premium,1581.415,3.2333333333333334,0.8677330182610054
1133734,Client Premium,1687.453,2.821428571428572,0.8674460931147668
1535334,Client Premium,1149.55,2.565217391304348,0.867160543180164
1533346,Client Premium,1476.255,2.0869565217391304,0.8671100483781907
1329552,Client Premium,1041.808,2.2916666666666665,0.8670663824045957
1353414,Client Premium,1753.96,2.9565217391304346,0.8665786066842571
1733352,Client Premium,1873.57,4.851851851851852,0.8663531922279607
1355732,Client Premium,1179.075,2.9166666666666665,0.8662691831389789
1329576,Client Premium,1446.38,2.1739130434782608,0.8654397132057173
1533520,Client Premium,1774.487,3.5625,0.8652794056455339
1294752,Client Premium,1010.41,2.4814814814814814,0.8652374164936812
1335334,Client Premium,1097.64,1.7222222222222223,0.8650205389132013
1355740,Client Premium,1051.775,1.84375,0.8646741060951969
1551534,Client Premium,1039.547,2.4166666666666665,0.8644992216960965
1335554,Client Premium,1533.05,1.9166666666666667,0.8644228965324714
1755352,Client Premium,1515.6,4.304347826086956,0.864058006742068
1533532,Client Premium,1562.875,3.2222222222222223,0.8639603068446473
1337752,Client Premium,1853.548,1.76,0.8634861017490334
1135734,Client Premium,1136.125,2.0,0.8634756311713686
1535394,Client Premium,948.18,2.0,0.8631200611178703
1355752,Client Premium,1088.66,2.217391304347826,0.8630408479832076
1551554,Client Premium,1924.111,2.3846153846153846,0.8627654256460933
1533312,Client Premium,871.875,2.269230769230769,0.8620180542882866
1533392,Client Premium,1751.869,2.08,0.8613431764255224
1353558,Client Premium,1090.08,2.136363636363636,0.8610037684765465
1515532,Client Premium,1019.72,3.136363636363636,0.8592601973520412
