N_CLIENT,CLUSTER_ID,Segment_Label,CA_TOTAL,PRIME_MOYENNE,NB_CONTRATS,AGE,BONUS_MALUS_MOY,NB_SINISTRES,TOTAL_REGLEMENTS,CAPITAUX_MOY
600146,1,Client Economique,68.08,22.69333333333333,3,67.33333333333333,1.0,0.0,0.0,2133.3333333333335
600868,6,Client a Risque,200.1,66.7,3,73.0,1.0,0.0,0.0,12000.0
601128,1,Client Economique,87.0,29.0,3,67.66666666666667,1.0,0.0,0.0,0.0
601672,6,Client a Risque,175.7,87.85,2,70.0,1.0,0.0,0.0,500.0
601714,6,Client a Risque,206.0,68.66666666666667,3,72.33333333333333,2.3333333333333335,0.0,0.0,133.33333333333334
606878,1,Client Economique,125.25,25.05,5,63.0,1.0,0.0,0.0,1000.0
606910,1,Client Economique,323.25,107.75,3,73.33333333333333,5.0,0.0,0.0,333.3333333333333
606956,6,Client a Risque,146.0,73.0,2,58.0,3.0,0.0,0.0,0.0
606960,4,Client Capital Eleve,184.0,92.0,2,59.0,3.0,0.0,0.0,13500.0
608870,1,Client Economique,108.58,21.716,5,71.6,1.0,0.0,0.0,6480.0
609146,4,Client Capital Eleve,65.6,32.8,2,72.5,3.0,0.0,0.0,15500.0
609186,7,Client Jeune Conducteur,185.0,92.5,2,69.5,9.0,0.0,0.0,0.0
609298,6,Client a Risque,97.6,97.6,1,74.0,1.0,0.0,0.0,0.0
609348,6,Client a Risque,110.88,55.44,2,67.0,1.0,0.0,0.0,4000.0
609558,1,Client Economique,126.0,63.0,2,67.5,3.0,1.0,145.2994095279315,0.0
609794,1,Client Economique,128.25,32.0625,4,57.5,2.0,0.0,0.0,5000.0
610672,7,Client Jeune Conducteur,448.35,89.67,5,65.6,8.6,1.0,139.11645593099826,8200.0
610752,6,Client a Risque,143.0,47.666666666666664,3,64.0,4.0,0.0,0.0,133.33333333333334
611370,6,Client a Risque,121.0,40.333333333333336,3,60.0,1.0,0.0,0.0,1333.3333333333333
611594,6,Client a Risque,98.0,98.0,1,73.0,1.0,0.0,0.0,0.0
612690,6,Client a Risque,3.0,3.0,1,66.0,1.0,0.0,0.0,0.0
612946,6,Client a Risque,88.0,88.0,1,74.0,2.0,0.0,0.0,0.0
613328,1,Client Economique,263.9,87.96666666666665,3,62.333333333333336,2.6666666666666665,0.0,0.0,133.33333333333334
613592,1,Client Economique,52.4,26.2,2,62.0,2.0,2.0,123.65907193866511,2000.0
613676,1,Client Economique,182.39999999999998,91.19999999999999,2,67.5,4.0,0.0,0.0,7500.0
613720,1,Client Economique,96.5,32.166666666666664,3,60.666666666666664,1.0,0.0,0.0,8000.0
613774,1,Client Economique,128.0,32.0,4,68.75,1.0,0.0,0.0,1100.0
613980,7,Client Jeune Conducteur,307.5,102.5,3,65.33333333333333,8.0,0.0,0.0,0.0
