N_CLIENT,N_POLICE,N_SINISTRE,DATE_ACCIDENT,AGENCE,REGLEMENTS,SAP,TRANSACTION
1755132,1401939540,758000008,2025-08-01,El Jem,109.51154666584227,0.0,N
1497466,1401614194,758000011,2025-08-01,Sfax 5,83.46987355859895,0.0,N
1557210,1400157210,758000017,2025-08-01,Djerba 2,111.2931647447986,0.0,N
1773336,1414107354,758000029,2025-08-01,Djerba 1,44.51726589791944,0.0,N
1275134,1401595172,758000038,2025-08-01,Sfax 4,38.95260766067951,0.0,N
795554,1400952606,758000048,2025-08-01,Gabès 4,170.03122391566453,0.0,N
1496152,1401739770,758000049,2025-08-02,Chebba,81.48885522614154,0.0,N
1815558,1414178178,758000059,2025-08-02,Zarzis 1,111.2931647447986,0.0,N
895066,1401497172,758000062,2025-08-01,Béja II,55.6465823723993,0.0,N
1001946,1414112932,758000094,2025-08-01,Gabès 3,37.18551952267598,0.0,N
613592,1401559388,758000102,2025-08-01,Zarzis 1,74.19575231087892,0.0,N
1287926,1400891734,758000110,2025-08-01,Zarzis 1,83.46987355859895,0.0,N
1809374,1414187336,758000124,2025-08-01,Gabès 2,37.18582867035583,0.0,N
1813468,1414179614,758000128,2025-08-01,Mahdia,1029.322657433456,0.0,N
787296,1401872614,758000139,2025-08-01,Béja II,58.261971743902066,0.0,N
1555920,1414066790,758000152,2025-08-01,Ghardimaou,72.54954091569543,0.0,N
1794948,1414141132,758000155,2025-08-01,Sfax 4,1030.8414999845427,0.0,N
1733506,1414133076,758000158,2025-08-01,La Goulette,75.09320802547377,0.0,N
999792,1400756130,758000159,2025-08-02,Mutuelleville,36.14245525087335,0.0,N
1710792,1414014894,758000160,2025-08-01,Mahdia,74.82795931616533,0.0,N
1549534,1401158934,758000165,2025-08-02,Gabès 2,47.71663523665255,0.0,N
1801352,1414172952,758000166,2025-08-01,Grombalia,761.0269885924506,0.0,N
1773372,1414121372,758000170,2025-08-01,Sfax 2,78.04433177729001,0.0,N
1787134,1414148872,758000179,2025-08-01,Ain Zaghouan,67.41707113488114,0.0,N
1399534,1414095354,758000185,2025-08-03,Sousse 2,139.11645593099826,0.0,N
1308136,1401508136,758000189,2025-08-03,Bizerte,30.605620304819613,0.0,N
1558068,1401933320,758000193,2025-08-01,Chebba,72.88032893313137,0.0,N
1693666,1401957532,758000194,2025-08-02,Ennasr,34.8681485145454,0.0,N
1381314,1401581314,758000196,2025-08-02,Ain Zaghouan,63.940396327325566,0.0,N
